word1,word2,count
presidential,candidate,55
that,allow,32
really,are,111
i'm,no,38
are,endless,24
freedom,from,20
playing,all,13
the,old,724
all,day,769
but,here,89
bets,on,13
i'm,just,451
here,are,533
are,some,456
just,beautiful,9
chicago,tribune,24
some,to,43
the,technology,77
technology,is,52
is,so,1366
don't,know,1384
get,you,288
it,took,385
so,new,15
know,if,601
you,started,44
took,me,194
new,that,12
if,she's,27
were,really,67
that,it's,375
me,minutes,10
she's,a,119
it's,the,706
minutes,to,163
the,largest,319
to,eat,687
largest,and,26
love,to,1226
and,most,317
to,read,792
those,who,1196
most,complex,9
who,have,809
have,risen,15
last,stand,8
example,of,293
stand,is,10
read,about,118
its,application,7
about,them,202
application,in,8
a,great,4066
the,united,853
united,states,783
is,there,554
there,any,111
ive,seen,61
never,ever,80
the,data,137
ever,forget,11
seen,these,14
in,my,4287
forget,about,109
my,mailbox,8
about,your,323
of,china,31
today,so,109
we'll,just,23
shows,how,36
so,excited,545
i,we,6
how,much,1263
just,have,330
excited,i,64
going,around,33
i,won,74
economic,news,9
news,from,32
social,media,583
thanks,for,4480
media,and,118
from,across,50
and,have,958
across,the,1066
i,already,245
get,more,205
all,of,2971
the,globe,82
more,from,67
of,your,1737
married,him,9
them,off,95
your,hard,29
rough,start,7
him,what,51
off,as,90
hard,work,192
start,but,24
what,you,1624
as,being,133
work,and,506
you,talking,49
and,for,842
talking,about,958
the,book,975
about,and,154
strong,on,6
and,yes,246
i,would,3154
yes,only,5
would,give,141
was,my,366
only,if,112
give,up,383
my,best,343
up,everything,19
best,friend,314
are,quick,13
everything,for,40
friend,and,211
quick,to,84
for,one,487
and,soul,47
one,moment,31
being,a,834
a,difference,238
say,things,30
soul,mate,12
moment,with,27
good,best,7
look,forward,420
moment,is,30
things,like,218
is,better,252
oh,my,383
like,its,107
we,had,1423
better,than,966
my,god,177
its,all,200
had,so,105
than,a,1087
god,this,19
much,in,119
is,crazy,106
separated,at,5
crazy,i,46
at,birth,22
a,lifetime,122
to,shut,102
lifetime,of,34
is,what,864
shut,up,180
youre,right,8
of,not,132
right,it,38
not,knowing,62
happy,mother's,170
not,fat,9
knowing,you,23
mother's,day,374
day,to,635
you,do,1223
just,not,246
to,all,1308
do,with,755
fault,and,12
with,it,810
her,future,20
and,so,871
the,amazing,132
a,size,31
so,the,628
moms,out,23
the,blame,53
are,much,63
go,away,169
out,there,1130
blame,game,6
much,more,716
if,it,1078
there,including,11
more,real,19
continues,i,6
it,weren't,15
including,my,26
i,feel,1776
weren't,for,10
interesting,than,13
the,air,474
my,very,58
feel,it,113
for,our,917
it,is,8128
very,own,66
a,bit,2106
sunday,at,83
and,doesnt,29
we'd,be,34
enough,to,1258
doesnt,really,30
be,free,70
to,love,329
free,from,46
love,him,162
and,zoe,7
address,the,89
him,as,225
starts,at,145
as,much,1009
the,fundamental,27
and,life,77
our,website,86
not,you,83
issues,on,21
website,is,53
qualified,in,5
is,up,243
on,hand,126
from,any,74
up,and,1612
it,i,1073
and,running,122
i,wonder,513
running,again,14
on,reading,14
lady,in,36
wonder,if,378
so,did,96
if,i'll,16
reading,the,179
i'll,get,101
the,constitution,101
the,blue,223
get,in,459
center,for,230
